Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
09-29-2022,88.68,42.85,HOLD,-0.20,,2022
09-28-2022,88.86,43.19,HOLD,3.64,,2022
09-27-2022,85.74,34.94,HOLD,2.10,,2022
09-26-2022,83.98,29.59,BUY,-2.06,,2022
09-23-2022,85.75,32.05,HOLD,-5.32,,2022
09-22-2022,90.57,40.59,HOLD,-0.42,,2022
09-21-2022,90.95,41.40,HOLD,-1.61,,2022
09-20-2022,92.44,44.63,HOLD,-0.82,,2022
09-19-2022,93.20,46.35,HOLD,-0.01,,2022
09-16-2022,93.21,46.37,HOLD,-1.71,,2022
09-15-2022,94.83,49.89,HOLD,-2.91,,2022
09-14-2022,97.67,56.94,HOLD,2.45,,2022
09-13-2022,95.33,51.72,HOLD,-2.34,,2022
09-12-2022,97.61,58.09,HOLD,1.15,,2022
09-09-2022,96.50,55.62,HOLD,1.68,,2022
09-08-2022,94.91,51.85,HOLD,0.82,,2022
09-07-2022,94.14,49.93,HOLD,-0.85,,2022
09-06-2022,94.95,51.95,HOLD,-0.67,,2022
09-02-2022,95.59,53.54,HOLD,1.83,,2022
09-01-2022,93.87,49.70,HOLD,-1.80,,2022
08-31-2022,95.59,53.83,HOLD,-0.75,,2022
08-30-2022,96.31,55.62,HOLD,-3.81,,2022
08-29-2022,100.12,66.52,HOLD,2.30,,2022
08-26-2022,97.87,62.49,HOLD,-1.23,,2022
08-25-2022,99.09,66.52,HOLD,0.52,,2022
08-24-2022,98.58,65.66,HOLD,0.59,,2022
08-23-2022,98.00,64.70,HOLD,4.24,,2022
08-22-2022,94.01,57.06,HOLD,-0.07,,2022
08-19-2022,94.08,57.26,HOLD,-0.32,,2022
08-18-2022,94.38,58.08,HOLD,2.36,,2022
08-17-2022,92.20,53.60,HOLD,0.81,,2022
08-16-2022,91.46,51.99,HOLD,-0.93,,2022
08-15-2022,92.32,54.02,HOLD,-1.79,,2022
08-12-2022,94.00,58.13,HOLD,0.87,,2022
08-11-2022,93.19,56.65,HOLD,1.90,,2022
08-10-2022,91.45,53.37,HOLD,0.95,,2022
08-09-2022,90.59,51.69,HOLD,1.84,,2022
08-08-2022,88.95,48.39,HOLD,0.57,,2022
08-05-2022,88.45,47.38,HOLD,1.45,,2022
08-04-2022,87.19,44.83,HOLD,-4.21,,2022
08-03-2022,91.02,51.91,HOLD,-3.24,,2022
08-02-2022,94.07,58.77,HOLD,-0.43,,2022
08-01-2022,94.48,59.75,HOLD,-2.53,,2022
07-29-2022,96.93,65.88,HOLD,4.63,,2022
07-28-2022,92.64,59.05,HOLD,1.17,,2022
07-27-2022,91.57,57.06,HOLD,2.16,,2022
07-26-2022,89.63,53.23,HOLD,-0.39,,2022
07-25-2022,89.98,54.04,HOLD,3.33,,2022
07-22-2022,87.08,47.97,HOLD,-0.76,,2022
07-21-2022,87.75,49.37,HOLD,-1.67,,2022
07-20-2022,89.24,52.53,HOLD,1.10,,2022
07-19-2022,88.27,50.62,HOLD,2.52,,2022
07-18-2022,86.10,46.11,HOLD,1.85,,2022
07-15-2022,84.54,42.61,HOLD,1.68,,2022
07-14-2022,83.14,39.33,HOLD,-2.00,,2022
07-13-2022,84.84,42.04,HOLD,0.40,,2022
07-12-2022,84.50,41.29,HOLD,-1.33,,2022
07-11-2022,85.64,43.03,HOLD,-0.51,,2022
07-08-2022,86.08,43.68,HOLD,0.16,,2022
07-07-2022,85.94,43.43,HOLD,3.19,,2022
07-06-2022,83.28,38.50,HOLD,-1.80,,2022
07-05-2022,84.81,40.38,HOLD,-3.13,,2022
07-01-2022,87.55,43.95,HOLD,2.23,,2022
06-30-2022,85.64,40.54,HOLD,-2.81,,2022
06-29-2022,88.12,43.74,HOLD,-3.69,,2022
06-28-2022,91.50,48.60,HOLD,2.77,,2022
06-27-2022,89.03,44.41,HOLD,2.45,,2022
06-24-2022,86.90,40.53,HOLD,1.98,,2022
06-23-2022,85.21,37.31,HOLD,-3.02,,2022
06-22-2022,87.86,40.51,HOLD,-3.96,,2022
06-21-2022,91.48,45.45,HOLD,6.22,,2022
06-17-2022,86.12,34.46,HOLD,-5.77,,2022
06-16-2022,91.39,42.22,HOLD,-3.69,,2022
06-15-2022,94.89,49.04,HOLD,-1.26,,2022
06-14-2022,96.10,51.72,HOLD,0.26,,2022
06-13-2022,95.85,51.21,HOLD,-4.59,,2022
06-10-2022,100.46,62.55,HOLD,-1.83,,2022
06-09-2022,102.33,68.25,HOLD,-2.16,,2022
06-08-2022,104.59,76.02,SELL,1.18,,2022
06-07-2022,103.37,74.57,SELL,4.58,,2022
06-06-2022,98.84,67.86,HOLD,-0.25,,2022
06-03-2022,99.09,68.79,HOLD,1.45,,2022
06-02-2022,97.67,66.36,HOLD,-0.17,,2022
06-01-2022,97.84,66.94,HOLD,1.92,,2022
05-31-2022,96.00,63.76,HOLD,-1.63,,2022
05-27-2022,97.59,69.09,HOLD,0.98,,2022
05-26-2022,96.64,67.59,HOLD,0.35,,2022
05-25-2022,96.30,67.06,HOLD,2.01,,2022
05-24-2022,94.40,63.99,HOLD,0.54,,2022
05-23-2022,93.89,63.13,HOLD,2.21,,2022
05-20-2022,91.86,59.57,HOLD,0.79,,2022
05-19-2022,91.14,58.25,HOLD,0.54,,2022
05-18-2022,90.65,57.37,HOLD,-1.59,,2022
05-17-2022,92.11,60.93,HOLD,1.28,,2022
05-16-2022,90.95,59.05,HOLD,2.35,,2022
05-13-2022,88.86,55.47,HOLD,2.97,,2022
05-12-2022,86.30,50.55,HOLD,-0.56,,2022
05-11-2022,86.79,51.56,HOLD,2.08,,2022
05-10-2022,85.02,48.07,HOLD,0.66,,2022
05-09-2022,84.46,46.95,HOLD,-7.89,,2022
05-06-2022,91.69,63.38,HOLD,1.53,,2022
05-05-2022,90.31,60.96,HOLD,-1.52,,2022
05-04-2022,91.70,64.98,HOLD,3.98,,2022
05-03-2022,88.19,58.58,HOLD,2.06,,2022
05-02-2022,86.41,54.67,HOLD,1.36,,2022
04-29-2022,85.25,51.93,HOLD,-2.24,,2022
04-28-2022,87.20,57.34,HOLD,3.02,,2022
04-27-2022,84.64,51.13,HOLD,2.86,,2022
04-26-2022,82.29,44.21,HOLD,0.04,,2022
04-25-2022,82.26,44.11,HOLD,-3.37,,2022
04-22-2022,85.13,51.87,HOLD,-2.18,,2022
04-21-2022,87.03,58.15,HOLD,-1.06,,2022
04-20-2022,87.96,61.54,HOLD,0.23,,2022
04-19-2022,87.76,61.08,HOLD,-0.89,,2022
04-18-2022,88.55,63.84,HOLD,0.82,,2022
04-14-2022,87.83,62.40,HOLD,1.17,,2022
04-13-2022,86.81,60.33,HOLD,1.41,,2022
04-12-2022,85.60,57.77,HOLD,2.09,,2022
04-11-2022,83.85,53.75,HOLD,-3.44,,2022
04-08-2022,86.84,63.30,HOLD,2.10,,2022
04-07-2022,85.05,59.28,HOLD,1.67,,2022
04-06-2022,83.65,55.76,HOLD,1.11,,2022
04-05-2022,82.73,53.30,HOLD,-0.52,,2022
04-04-2022,83.16,54.62,HOLD,0.05,,2022
04-01-2022,83.12,54.52,HOLD,0.64,,2022
03-31-2022,82.59,53.29,HOLD,-1.42,,2022
03-30-2022,83.78,56.48,HOLD,1.71,,2022
03-29-2022,82.37,53.41,HOLD,-0.53,,2022
03-28-2022,82.81,54.52,HOLD,-2.81,,2022
03-25-2022,85.20,60.93,HOLD,2.18,,2022
03-24-2022,83.38,57.39,HOLD,0.30,,2022
03-23-2022,83.13,56.89,HOLD,1.58,,2022
03-22-2022,81.84,54.33,HOLD,-0.44,,2022
03-21-2022,82.20,55.18,HOLD,4.49,,2022
03-18-2022,78.67,47.75,HOLD,-0.39,,2022
03-17-2022,78.98,48.40,HOLD,2.66,,2022
03-16-2022,76.93,43.66,HOLD,-0.38,,2022
03-15-2022,77.22,44.19,HOLD,-5.69,,2022
03-14-2022,81.88,54.05,HOLD,-3.58,,2022
03-11-2022,84.92,62.50,HOLD,-0.52,,2022
03-10-2022,85.36,63.84,HOLD,3.10,,2022
03-09-2022,82.79,59.08,HOLD,-5.68,,2022
03-08-2022,87.78,77.47,SELL,0.76,,2022
03-07-2022,87.12,76.58,SELL,3.60,,2022
03-04-2022,84.09,71.80,SELL,3.76,,2022
03-03-2022,81.04,65.15,HOLD,0.63,,2022
03-02-2022,80.53,63.83,HOLD,1.72,,2022
03-01-2022,79.17,60.07,HOLD,0.96,,2022
02-28-2022,78.42,57.83,HOLD,0.75,,2022
02-25-2022,77.84,56.05,HOLD,2.69,,2022
02-24-2022,75.80,49.06,HOLD,-1.26,,2022
02-23-2022,76.77,52.77,HOLD,0.41,,2022
02-22-2022,76.46,51.69,HOLD,-1.16,,2022
02-18-2022,77.36,55.09,HOLD,-1.11,,2022
02-17-2022,78.23,58.56,HOLD,-0.15,,2022
02-16-2022,78.35,59.03,HOLD,0.46,,2022
02-15-2022,77.99,58.08,HOLD,-1.25,,2022
02-14-2022,78.98,61.73,HOLD,-1.53,,2022
02-11-2022,80.21,66.55,HOLD,2.52,,2022
02-10-2022,78.24,62.16,HOLD,-0.96,,2022
02-09-2022,79.00,65.23,HOLD,-1.57,,2022
02-08-2022,80.26,70.60,SELL,-2.59,,2022
02-07-2022,82.39,81.07,SELL,1.20,,2022
02-04-2022,81.41,79.79,SELL,2.17,,2022
02-03-2022,79.68,77.27,SELL,-1.17,,2022
02-02-2022,80.62,82.46,SELL,-0.26,,2022
02-01-2022,80.83,83.63,SELL,6.41,,2022
01-31-2022,75.96,76.46,SELL,0.90,,2022
01-28-2022,75.28,75.05,SELL,0.21,,2022
01-27-2022,75.12,74.71,SELL,1.28,,2022
01-26-2022,74.17,72.71,SELL,-1.01,,2022
01-25-2022,74.93,77.26,SELL,2.94,,2022
01-24-2022,72.79,72.81,SELL,0.86,,2022
01-21-2022,72.17,71.30,SELL,-1.50,,2022
01-20-2022,73.27,78.48,SELL,0.22,,2022
01-19-2022,73.11,78.19,SELL,0.04,,2022
01-18-2022,73.08,78.13,SELL,1.68,,2022
01-14-2022,71.87,75.97,SELL,1.76,,2022
01-13-2022,70.63,73.47,SELL,-0.72,,2022
01-12-2022,71.14,76.51,SELL,-0.29,,2022
01-11-2022,71.35,77.74,SELL,4.21,,2022
01-10-2022,68.47,72.00,SELL,-0.60,,2022
01-07-2022,68.88,74.54,SELL,0.82,,2022
01-06-2022,68.32,73.35,SELL,2.35,,2022
01-05-2022,66.75,69.65,HOLD,1.24,,2022
01-04-2022,65.93,67.46,HOLD,3.76,,2022
01-03-2022,63.54,59.57,HOLD,3.84,,2022
12-31-2021,61.19,48.06,HOLD,0.66,,2021
12-30-2021,60.79,45.61,HOLD,-0.59,,2021
12-29-2021,61.15,47.48,HOLD,-0.88,,2021
12-28-2021,61.69,50.36,HOLD,-0.32,,2021
12-27-2021,61.89,51.43,HOLD,1.43,,2021
12-23-2021,61.02,46.87,HOLD,0.05,,2021
12-22-2021,60.99,46.71,HOLD,0.81,,2021
12-21-2021,60.50,44.15,HOLD,2.27,,2021
12-20-2021,59.16,36.41,HOLD,-1.45,,2021
12-17-2021,60.03,39.73,HOLD,-2.18,,2021
12-16-2021,61.37,45.69,HOLD,0.16,,2021
12-15-2021,61.27,45.12,HOLD,-0.44,,2021
12-14-2021,61.54,46.34,HOLD,-0.15,,2021
12-13-2021,61.63,46.73,HOLD,-2.19,,2021
12-10-2021,63.01,53.11,HOLD,0.64,,2021
12-09-2021,62.61,51.32,HOLD,0.26,,2021
12-08-2021,62.45,50.62,HOLD,0.29,,2021
12-07-2021,62.27,49.87,HOLD,1.12,,2021
12-06-2021,61.58,46.99,HOLD,1.13,,2021
12-03-2021,60.89,44.00,HOLD,-0.64,,2021
12-02-2021,61.28,45.34,HOLD,2.49,,2021
12-01-2021,59.79,38.72,HOLD,-0.08,,2021
11-30-2021,59.84,38.87,HOLD,-2.84,,2021
11-29-2021,61.59,44.33,HOLD,0.56,,2021
11-26-2021,61.25,42.88,HOLD,-3.51,,2021
11-24-2021,63.48,50.95,HOLD,0.55,,2021
11-23-2021,63.13,49.57,HOLD,2.63,,2021
11-22-2021,61.51,42.61,HOLD,1.38,,2021
11-19-2021,60.67,38.53,HOLD,-4.62,,2021
11-18-2021,63.61,50.11,HOLD,-1.09,,2021
11-17-2021,64.31,53.68,HOLD,-1.09,,2021
11-16-2021,65.02,57.54,HOLD,1.01,,2021
11-15-2021,64.37,54.77,HOLD,0.86,,2021
11-12-2021,63.82,52.34,HOLD,-0.76,,2021
11-11-2021,64.31,54.78,HOLD,0.19,,2021
11-10-2021,64.19,54.29,HOLD,-3.27,,2021
11-09-2021,66.36,66.21,HOLD,0.97,,2021
11-08-2021,65.72,64.05,HOLD,1.08,,2021
11-05-2021,65.02,61.55,HOLD,0.95,,2021
11-04-2021,64.41,59.26,HOLD,0.75,,2021
11-03-2021,63.93,57.41,HOLD,-1.37,,2021
11-02-2021,64.82,62.29,HOLD,-1.23,,2021
11-01-2021,65.63,67.11,HOLD,1.80,,2021
10-29-2021,64.47,63.33,HOLD,0.25,,2021
10-28-2021,64.31,62.79,HOLD,0.28,,2021
10-27-2021,64.13,62.20,HOLD,-2.60,,2021
10-26-2021,65.84,72.29,SELL,2.32,,2021
10-25-2021,64.35,68.10,HOLD,1.95,,2021
10-22-2021,63.12,63.92,HOLD,0.69,,2021
10-21-2021,62.69,62.32,HOLD,-1.82,,2021
10-20-2021,63.85,70.12,SELL,0.55,,2021
10-19-2021,63.50,69.03,HOLD,1.50,,2021
10-18-2021,62.56,65.95,HOLD,-0.05,,2021
10-15-2021,62.59,66.14,HOLD,0.95,,2021
10-14-2021,62.00,64.21,HOLD,1.52,,2021
10-13-2021,61.07,60.94,HOLD,-0.28,,2021
10-12-2021,61.24,61.90,HOLD,-0.52,,2021
10-11-2021,61.56,63.65,HOLD,-1.00,,2021
10-08-2021,62.18,67.06,HOLD,2.51,,2021
10-07-2021,60.66,62.48,HOLD,0.28,,2021
10-06-2021,60.49,61.93,HOLD,-1.83,,2021
10-05-2021,61.62,68.09,HOLD,-0.16,,2021
10-04-2021,61.72,68.65,HOLD,1.30,,2021
10-01-2021,60.93,66.64,HOLD,3.59,,2021
09-30-2021,58.82,60.30,HOLD,-1.77,,2021
09-29-2021,59.88,66.16,HOLD,-0.07,,2021
09-28-2021,59.92,66.39,HOLD,1.05,,2021
09-27-2021,59.30,64.65,HOLD,2.97,,2021
09-24-2021,57.59,59.25,HOLD,0.89,,2021
09-23-2021,57.08,57.45,HOLD,3.39,,2021
09-22-2021,55.21,49.92,HOLD,2.93,,2021
09-21-2021,53.64,41.90,HOLD,-0.09,,2021
09-20-2021,53.69,42.10,HOLD,-2.66,,2021
09-17-2021,55.16,48.38,HOLD,-1.18,,2021
09-16-2021,55.82,51.59,HOLD,-1.06,,2021
09-15-2021,56.42,54.65,HOLD,3.37,,2021
09-14-2021,54.58,45.43,HOLD,-1.43,,2021
09-13-2021,55.37,49.44,HOLD,2.58,,2021
09-10-2021,53.98,40.92,HOLD,-0.20,,2021
09-09-2021,54.09,41.43,HOLD,0.07,,2021
09-08-2021,54.05,41.19,HOLD,-0.92,,2021
09-07-2021,54.55,43.32,HOLD,-0.58,,2021
09-03-2021,54.87,44.70,HOLD,-0.38,,2021
09-02-2021,55.08,45.58,HOLD,2.44,,2021
09-01-2021,53.77,38.55,HOLD,-1.38,,2021
08-31-2021,54.52,41.39,HOLD,-1.16,,2021
08-30-2021,55.16,43.96,HOLD,-1.09,,2021
08-27-2021,55.77,46.52,HOLD,1.94,,2021
08-26-2021,54.71,40.98,HOLD,-1.35,,2021
08-25-2021,55.46,43.97,HOLD,0.18,,2021
08-24-2021,55.36,43.46,HOLD,0.82,,2021
08-23-2021,54.91,41.22,HOLD,4.11,,2021
08-20-2021,52.74,28.53,BUY,0.02,,2021
08-19-2021,52.73,28.47,BUY,-3.05,,2021
08-18-2021,54.39,33.20,HOLD,-2.11,,2021
08-17-2021,55.56,37.25,HOLD,-0.68,,2021
08-16-2021,55.94,38.67,HOLD,-1.46,,2021
08-13-2021,56.77,41.92,HOLD,-1.01,,2021
08-12-2021,57.35,44.34,HOLD,-1.71,,2021
08-11-2021,58.35,48.85,HOLD,0.29,,2021
08-10-2021,58.18,48.02,HOLD,1.71,,2021
08-09-2021,57.20,43.04,HOLD,-1.14,,2021
08-06-2021,57.86,45.78,HOLD,1.15,,2021
08-05-2021,57.20,42.37,HOLD,0.63,,2021
08-04-2021,56.84,40.48,HOLD,-2.34,,2021
08-03-2021,58.20,45.76,HOLD,1.08,,2021
08-02-2021,57.58,42.59,HOLD,0.02,,2021
07-30-2021,57.57,42.54,HOLD,-2.31,,2021
07-29-2021,58.93,47.82,HOLD,1.22,,2021
07-28-2021,58.22,44.48,HOLD,0.67,,2021
07-27-2021,57.83,42.60,HOLD,-1.11,,2021
07-26-2021,58.48,44.95,HOLD,2.52,,2021
07-23-2021,57.04,37.90,HOLD,-0.12,,2021
07-22-2021,57.11,38.12,HOLD,-1.13,,2021
07-21-2021,57.76,40.14,HOLD,3.22,,2021
07-20-2021,55.96,30.74,HOLD,1.10,,2021
07-19-2021,55.35,27.13,BUY,-3.44,,2021
07-16-2021,57.32,32.15,HOLD,-2.77,,2021
07-15-2021,58.95,37.46,HOLD,-0.97,,2021
07-14-2021,59.53,39.63,HOLD,-2.22,,2021
07-13-2021,60.88,45.29,HOLD,-0.47,,2021
07-12-2021,61.17,46.61,HOLD,-0.10,,2021
07-09-2021,61.23,46.88,HOLD,1.81,,2021
07-08-2021,60.14,41.27,HOLD,-0.45,,2021
07-07-2021,60.41,42.29,HOLD,-1.56,,2021
07-06-2021,61.37,46.08,HOLD,-2.85,,2021
07-02-2021,63.17,54.60,HOLD,-0.14,,2021
07-01-2021,63.26,55.07,HOLD,0.29,,2021
06-30-2021,63.08,54.33,HOLD,0.73,,2021
06-29-2021,62.62,52.49,HOLD,-0.62,,2021
06-28-2021,63.01,54.21,HOLD,-2.55,,2021
06-25-2021,64.66,62.23,HOLD,0.22,,2021
06-24-2021,64.52,61.78,HOLD,0.40,,2021
06-23-2021,64.26,60.99,HOLD,0.74,,2021
06-22-2021,63.79,59.58,HOLD,1.92,,2021
06-21-2021,62.59,55.80,HOLD,3.63,,2021
06-18-2021,60.40,47.48,HOLD,-2.56,,2021
06-17-2021,61.99,54.38,HOLD,-3.29,,2021
06-16-2021,64.10,66.26,HOLD,-0.36,,2021
06-15-2021,64.33,67.75,HOLD,3.64,,2021
06-14-2021,62.07,59.38,HOLD,-0.16,,2021
06-11-2021,62.17,60.02,HOLD,-0.92,,2021
06-10-2021,62.75,63.72,HOLD,0.16,,2021
06-09-2021,62.65,63.36,HOLD,0.84,,2021
06-08-2021,62.13,61.50,HOLD,1.77,,2021
06-07-2021,61.05,57.34,HOLD,-0.65,,2021
06-04-2021,61.45,59.56,HOLD,0.44,,2021
06-03-2021,61.18,58.55,HOLD,0.39,,2021
06-02-2021,60.94,57.69,HOLD,0.79,,2021
06-01-2021,60.46,55.98,HOLD,3.58,,2021
05-28-2021,58.37,47.39,HOLD,-0.32,,2021
05-27-2021,58.56,48.18,HOLD,-0.64,,2021
05-26-2021,58.94,49.73,HOLD,1.17,,2021
05-25-2021,58.26,46.89,HOLD,-2.26,,2021
05-24-2021,59.61,52.33,HOLD,1.17,,2021
05-21-2021,58.92,49.55,HOLD,0.14,,2021
05-20-2021,58.84,49.24,HOLD,-0.24,,2021
05-19-2021,58.98,49.75,HOLD,-2.40,,2021
05-18-2021,60.43,55.25,HOLD,-2.83,,2021
05-17-2021,62.19,63.12,HOLD,2.34,,2021
05-14-2021,60.77,58.72,HOLD,2.48,,2021
05-13-2021,59.30,53.36,HOLD,-1.23,,2021
05-12-2021,60.04,56.80,HOLD,-0.91,,2021
05-11-2021,60.59,59.45,HOLD,-3.18,,2021
05-10-2021,62.58,70.51,SELL,0.24,,2021
05-07-2021,62.43,70.12,SELL,1.43,,2021
05-06-2021,61.55,67.81,HOLD,0.95,,2021
05-05-2021,60.97,66.21,HOLD,3.01,,2021
05-04-2021,59.19,60.63,HOLD,0.63,,2021
05-03-2021,58.82,59.33,HOLD,2.76,,2021
04-30-2021,57.24,53.23,HOLD,-2.88,,2021
04-29-2021,58.94,62.62,HOLD,1.43,,2021
04-28-2021,58.11,59.37,HOLD,3.01,,2021
04-27-2021,56.41,51.33,HOLD,1.31,,2021
04-26-2021,55.68,47.16,HOLD,0.20,,2021
04-23-2021,55.57,46.51,HOLD,0.54,,2021
04-22-2021,55.27,44.82,HOLD,-1.30,,2021
04-21-2021,56.00,48.28,HOLD,1.28,,2021
04-20-2021,55.29,44.40,HOLD,-2.11,,2021
04-19-2021,56.48,50.26,HOLD,-0.32,,2021
04-16-2021,56.66,51.21,HOLD,-0.56,,2021
04-15-2021,56.98,52.86,HOLD,-0.59,,2021
04-14-2021,57.32,54.60,HOLD,2.89,,2021
04-13-2021,55.71,46.94,HOLD,0.38,,2021
04-12-2021,55.50,45.84,HOLD,-0.66,,2021
04-09-2021,55.87,47.46,HOLD,-0.23,,2021
04-08-2021,56.00,48.01,HOLD,-1.04,,2021
04-07-2021,56.59,50.49,HOLD,0.44,,2021
04-06-2021,56.34,49.46,HOLD,-0.28,,2021
04-05-2021,56.50,50.08,HOLD,-1.55,,2021
04-01-2021,57.39,53.53,HOLD,2.79,,2021
03-31-2021,55.83,47.66,HOLD,-1.52,,2021
03-30-2021,56.69,50.95,HOLD,-1.24,,2021
03-29-2021,57.40,53.80,HOLD,-0.54,,2021
03-26-2021,57.71,55.05,HOLD,2.72,,2021
03-25-2021,56.18,49.70,HOLD,-0.28,,2021
03-24-2021,56.34,50.28,HOLD,2.03,,2021
03-23-2021,55.22,46.19,HOLD,-1.23,,2021
03-22-2021,55.91,48.47,HOLD,-1.03,,2021
03-19-2021,56.49,50.42,HOLD,-0.56,,2021
03-18-2021,56.81,51.48,HOLD,-4.31,,2021
03-17-2021,59.37,60.98,HOLD,0.44,,2021
03-16-2021,59.11,60.28,HOLD,-2.12,,2021
03-15-2021,60.39,65.60,HOLD,-2.55,,2021
03-12-2021,61.97,72.97,SELL,1.08,,2021
03-11-2021,61.31,71.73,SELL,-0.74,,2021
03-10-2021,61.77,73.91,SELL,3.07,,2021
03-09-2021,59.93,70.60,SELL,-1.54,,2021
03-08-2021,60.87,75.13,SELL,-0.10,,2021
03-05-2021,60.93,75.42,SELL,3.78,,2021
03-04-2021,58.71,71.70,SELL,3.87,,2021
03-03-2021,56.52,67.16,HOLD,0.80,,2021
03-02-2021,56.07,66.12,HOLD,-0.59,,2021
03-01-2021,56.40,67.57,HOLD,3.73,,2021
02-26-2021,54.37,62.91,HOLD,-2.49,,2021
02-25-2021,55.76,69.24,HOLD,-1.66,,2021
02-24-2021,56.70,73.91,SELL,3.00,,2021
02-23-2021,55.05,70.69,SELL,1.38,,2021
02-22-2021,54.30,69.07,HOLD,3.69,,2021
02-19-2021,52.37,64.39,HOLD,0.67,,2021
02-18-2021,52.02,63.46,HOLD,-1.57,,2021
02-17-2021,52.85,67.34,HOLD,1.56,,2021
02-16-2021,52.04,65.43,HOLD,3.01,,2021
02-12-2021,50.52,61.49,HOLD,1.36,,2021
02-11-2021,49.84,59.58,HOLD,-2.50,,2021
02-10-2021,51.12,65.24,HOLD,0.97,,2021
02-09-2021,50.63,64.03,HOLD,-2.82,,2021
02-08-2021,52.10,70.92,SELL,4.30,,2021
02-05-2021,49.95,65.94,HOLD,3.35,,2021
02-04-2021,48.33,61.30,HOLD,1.92,,2021
02-03-2021,47.42,58.34,HOLD,3.92,,2021
02-02-2021,45.63,51.57,HOLD,1.58,,2021
02-01-2021,44.92,48.48,HOLD,0.18,,2021
01-29-2021,44.84,48.14,HOLD,-2.65,,2021
